@relation satimage-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement

@attribute Aattr numeric
@attribute Battr numeric
@attribute Cattr numeric
@attribute Dattr numeric
@attribute Eattr numeric
@attribute Fattr numeric
@attribute A1attr numeric
@attribute B2attr numeric
@attribute C3attr numeric
@attribute D4attr numeric
@attribute E5attr numeric
@attribute F6attr numeric
@attribute A7attr numeric
@attribute B8attr numeric
@attribute C9attr numeric
@attribute D10attr numeric
@attribute E11attr numeric
@attribute F12attr numeric
@attribute A13attr numeric
@attribute B14attr numeric
@attribute C15attr numeric
@attribute D16attr numeric
@attribute E17attr numeric
@attribute F18attr numeric
@attribute A19attr numeric
@attribute B20attr numeric
@attribute C21attr numeric
@attribute D22attr numeric
@attribute E23attr numeric
@attribute F24attr numeric
@attribute A25attr numeric
@attribute B26attr numeric
@attribute C27attr numeric
@attribute D28attr numeric
@attribute E29attr numeric
@attribute F30attr numeric
@attribute class {1.,2.,3.,4.,5.,7.}

@data
0.411587,0.148811,-0.618205,-0.825112,0.431358,0.164136,-0.606733,-0.818182,0.451921,0.004676,-0.592266,-0.599975,0.34628,0.15419,-0.438644,-0.667912,0.365966,0.167164,-0.666947,-0.872224,0.383431,0.180869,-0.654507,-0.653804,0.429852,0.202896,-0.554688,-0.561342,0.152375,0.037396,-0.365887,-0.557562,0.468035,0.225319,-0.534637,-0.761265,4.
-0.470385,-0.72523,-1.519325,-1.460111,-0.45352,-0.534967,-1.266835,-1.293344,-0.141965,-0.520206,-1.253459,-1.07413,-0.09481,-0.458504,-1.698554,-1.354581,-0.077243,-0.444054,-1.504385,-1.345024,-0.359554,-0.430902,-1.491346,-1.335476,-0.085593,-0.542629,-1.698404,-1.403834,-0.366425,-0.356526,-1.682913,-1.397737,-0.352763,-0.51974,-1.672669,-1.2336,7.
-0.470385,-0.550421,-1.038727,-0.930945,-0.674739,-1.015599,-0.84677,-0.34302,-0.661615,-1.001348,-0.351833,0.032233,-0.388869,-0.939907,-1.038601,-0.773554,-0.668189,-1.055273,-0.547313,-0.346891,-0.656748,-1.042673,-0.056765,0.237614,-0.674672,-0.981173,-0.976057,-0.666654,-0.959339,-1.144368,-1.203994,-0.662584,-0.651234,-1.396281,-0.953912,-0.446376,5.
0.485085,0.454725,-0.55813,-0.348863,0.505098,0.251523,-0.306686,-0.34302,0.229214,0.485819,-0.532158,-0.547291,0.493309,0.329246,0.041321,-0.45663,0.513703,0.167164,0.050856,-0.451958,0.532028,0.180869,-0.475184,-0.444059,0.724391,0.159041,-0.374101,-0.824621,0.448832,0.168703,-0.186293,-0.610073,0.468035,0.356801,-0.175259,-0.603821,4.
-0.102897,-0.463017,-1.279026,-1.354278,0.210138,-0.447579,-1.026798,-1.134957,0.229214,-0.257765,-1.493892,-1.33755,-0.09481,-0.370976,-1.218588,-1.24894,-0.372716,-0.356737,-1.2053,-1.239957,-0.06236,-0.343506,-1.431571,-1.230603,-0.159228,-0.498775,-1.517817,-1.298522,-0.440539,-0.487833,-1.503318,-1.292715,-0.128909,-0.344432,-1.49298,-1.286082,7.
0.411587,-0.288209,-1.038727,-1.354278,-0.158561,-0.447579,-1.446863,-1.768505,-0.438908,-0.738907,-1.614109,-1.548286,-0.168324,-0.721087,-1.758549,-1.829967,-0.446584,-0.706005,-1.743652,-1.660224,-0.433852,-0.693089,-1.491346,-1.650094,-0.380132,-0.761901,-1.698404,-1.509145,-0.366425,-0.61914,-1.682913,-1.502759,-0.352763,-0.607395,-1.49298,-1.496009,7.
-0.176394,-0.550421,-1.038727,-0.930945,0.062659,-0.360191,-0.606733,-0.501408,-0.141965,-0.520206,-0.592266,-0.494607,-0.388869,-0.764851,-1.278584,-0.932016,-0.372716,-0.749664,-1.025849,-0.924758,-0.359554,-0.911579,-1.013152,-0.915985,0.503487,0.159041,0.047268,-0.08744,1.11586,0.518855,0.053167,0.12508,0.542653,0.006184,-0.175259,-0.446376,7.
-0.176394,-0.200805,-0.858503,-0.930945,-0.158561,-0.185416,-1.026798,-0.923774,-0.141965,-0.345245,-1.253459,-1.07413,0.19925,-0.108393,-1.038601,-1.143298,-0.077243,-0.269421,-1.504385,-1.134891,-0.06236,-0.25611,-1.491346,-1.125731,0.503487,0.159041,-0.193515,-0.666654,0.152375,-0.181449,-0.964535,-1.240204,-0.054291,-0.169124,-1.193498,-1.023674,7.
0.926071,0.323619,0.523215,0.127386,-0.45352,-0.884518,-0.666742,-0.237429,-1.255501,-1.30753,-1.373676,-0.441923,0.713854,0.679357,0.641278,0.177218,0.144362,-0.269421,-0.786581,-0.399425,-0.731046,-0.998975,-1.610894,-0.548931,0.356217,0.202896,0.649224,0.597084,0.671174,0.037396,-0.365887,-0.137475,-0.42738,-0.344432,-0.594534,-0.498857,5.
1.073066,0.848043,0.823588,0.233219,1.389975,1.212789,0.83349,0.501711,1.788164,1.054442,0.609902,0.506388,1.522517,0.898176,0.761269,0.124397,1.547858,1.12765,0.768659,0.125908,1.572207,1.142224,1.078945,0.342486,1.681645,1.079983,0.890006,0.386461,2.005231,1.087853,0.891274,0.387634,2.035012,1.277169,0.902877,0.393331,3.
